activation,fold,hamming,f1_macro,f1_micro,exact_match
relu,1,0.06473214285714286,0.8559160305343512,0.9354120267260579,0.9330357142857143
relu,2,0.08928571428571429,0.7824397824397824,0.9107142857142857,0.9107142857142857
relu,3,0.08482142857142858,0.829041976300462,0.9151785714285714,0.9151785714285714
relu,4,0.12946428571428573,0.7248273817088152,0.8705357142857143,0.8705357142857143
relu,5,0.07174887892376682,0.8366300366300367,0.9282511210762332,0.9282511210762332
tanh,1,0.07589285714285714,0.8291380625476735,0.9241071428571429,0.9241071428571429
tanh,2,0.09375,0.7753045139718175,0.90625,0.90625
tanh,3,0.08928571428571429,0.8223068380136442,0.9107142857142857,0.9107142857142857
tanh,4,0.12946428571428573,0.7248273817088152,0.8705357142857143,0.8705357142857143
tanh,5,0.07174887892376682,0.8366300366300367,0.9282511210762332,0.9282511210762332
leaky_relu,1,0.07142857142857142,0.8367346938775511,0.9285714285714286,0.9285714285714286
leaky_relu,2,0.08928571428571429,0.7824397824397824,0.9107142857142857,0.9107142857142857
leaky_relu,3,0.08705357142857142,0.8236806709391566,0.9131403118040089,0.9107142857142857
leaky_relu,4,0.13392857142857142,0.6938775510204082,0.8660714285714286,0.8660714285714286
leaky_relu,5,0.07174887892376682,0.8366300366300367,0.9282511210762332,0.9282511210762332
