target,fold,hidden_dim,dropout,lr,weight_decay,batch_size,hamming_loss,exact_match,precision_micro,recall_micro,f1_micro,f1_macro,uncertainty_mean
GDS,1,64,0.2,0.001,0.0,32,0.14360119047619047,0.5714285714285714,0.5688888888888889,0.5714285714285714,0.5701559020044543,0.3622271301050371,0.02428797259926796
GDS,2,64,0.2,0.001,0.0,32,0.13839285714285715,0.5848214285714286,0.5848214285714286,0.5848214285714286,0.5848214285714286,0.4380760668870424,0.021670687943696976
GDS,3,64,0.3,0.001,0.0001,32,0.14136904761904762,0.5758928571428571,0.5758928571428571,0.5758928571428571,0.5758928571428571,0.39715291289527394,0.024986932054162025
GDS,4,64,0.3,0.001,0.0001,32,0.15327380952380953,0.5401785714285714,0.5401785714285714,0.5401785714285714,0.5401785714285714,0.3672255731090992,0.026263102889060974
GDS,5,64,0.2,0.001,0.0,32,0.15097159940209268,0.547085201793722,0.547085201793722,0.547085201793722,0.547085201793722,0.448117069185568,0.023459766060113907
GDS_R1,1,32,0.2,0.01,0.0001,32,0.05654761904761905,0.9151785714285714,0.9151785714285714,0.9151785714285714,0.9151785714285714,0.6668279309788744,0.020699983462691307
GDS_R1,2,64,0.5,0.01,0.0001,32,0.05952380952380952,0.9107142857142857,0.9107142857142857,0.9107142857142857,0.9107142857142857,0.7388309933902639,0.03320363163948059
GDS_R1,3,16,0.2,0.01,0.0,32,0.07738095238095238,0.8839285714285714,0.8839285714285714,0.8839285714285714,0.8839285714285714,0.6774219343488865,0.02313539758324623
GDS_R1,4,32,0.2,0.01,0.0,32,0.09226190476190477,0.8616071428571429,0.8616071428571429,0.8616071428571429,0.8616071428571429,0.5994310767785375,0.02235228195786476
GDS_R1,5,32,0.5,0.01,0.0001,32,0.06576980568011959,0.9013452914798207,0.9013452914798207,0.9013452914798207,0.9013452914798207,0.7402395740905058,0.03216656669974327
GDS_R2,1,32,0.2,0.001,0.0,32,0.1636904761904762,0.7544642857142857,0.7544642857142857,0.7544642857142857,0.7544642857142857,0.6691770398963799,0.04055757075548172
GDS_R2,2,32,0.5,0.01,0.0,32,0.19196428571428573,0.7098214285714286,0.7111111111111111,0.7142857142857143,0.7126948775055679,0.647296138205229,0.05942634865641594
GDS_R2,3,64,0.3,0.001,0.0001,32,0.1488095238095238,0.7767857142857143,0.7767857142857143,0.7767857142857143,0.7767857142857143,0.7258819874514039,0.037600621581077576
GDS_R2,4,64,0.3,0.001,0.0,32,0.18898809523809523,0.7142857142857143,0.7155555555555555,0.71875,0.7171492204899778,0.65023127622936,0.03844623640179634
GDS_R2,5,64,0.3,0.001,0.0001,32,0.2242152466367713,0.6636771300448431,0.6636771300448431,0.6636771300448431,0.6636771300448431,0.5935297740607476,0.03665919974446297
GDS_R3,1,16,0.2,0.001,0.0001,32,0.07366071428571429,0.9241071428571429,0.9244444444444444,0.9285714285714286,0.9265033407572383,0.8403298350824588,0.03672925755381584
GDS_R3,2,16,0.5,0.01,0.0,32,0.09821428571428571,0.9017857142857143,0.9017857142857143,0.9017857142857143,0.9017857142857143,0.7523618090452262,0.05525142699480057
GDS_R3,3,16,0.3,0.001,0.0,32,0.08482142857142858,0.9151785714285714,0.9151785714285714,0.9151785714285714,0.9151785714285714,0.829041976300462,0.042635951191186905
GDS_R3,4,16,0.5,0.01,0.0001,32,0.13392857142857142,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.8660714285714286,0.7029177718832892,0.05195573344826698
GDS_R3,5,16,0.3,0.001,0.0001,32,0.07174887892376682,0.9282511210762332,0.9282511210762332,0.9282511210762332,0.9282511210762332,0.8366300366300367,0.04091974347829819
GDS_R4,1,32,0.3,0.001,0.0001,32,0.10416666666666667,0.8348214285714286,0.8377192982456141,0.8526785714285714,0.8451327433628318,0.5516273849607183,0.03338917717337608
GDS_R4,2,32,0.2,0.01,0.0,32,0.12202380952380952,0.8169642857142857,0.8169642857142857,0.8169642857142857,0.8169642857142857,0.4726472206934507,0.023397011682391167
GDS_R4,3,16,0.5,0.01,0.0,32,0.11607142857142858,0.8258928571428571,0.8258928571428571,0.8258928571428571,0.8258928571428571,0.4761904761904761,0.05330847576260567
GDS_R4,4,64,0.5,0.001,0.0,32,0.1056547619047619,0.8392857142857143,0.84,0.84375,0.8418708240534521,0.5571508335327431,0.03547642007470131
GDS_R4,5,16,0.5,0.01,0.0,32,0.11360239162929746,0.8295964125560538,0.8295964125560538,0.8295964125560538,0.8295964125560538,0.4683333333333333,0.04234158992767334
GDS_R5,1,16,0.3,0.001,0.0001,32,0.15178571428571427,0.7633928571428571,0.7675438596491229,0.78125,0.7743362831858407,0.5076734192756293,0.04866621643304825
GDS_R5,2,64,0.5,0.001,0.0,32,0.1488095238095238,0.7767857142857143,0.7767857142857143,0.7767857142857143,0.7767857142857143,0.5123233055454874,0.04390186816453934
GDS_R5,3,16,0.5,0.001,0.0,32,0.15773809523809523,0.7589285714285714,0.7610619469026548,0.7678571428571429,0.7644444444444445,0.4800671289699503,0.0700155645608902
GDS_R5,4,32,0.3,0.001,0.0,32,0.1488095238095238,0.7767857142857143,0.7767857142857143,0.7767857142857143,0.7767857142857143,0.515419020715631,0.046060141175985336
GDS_R5,5,32,0.5,0.01,0.0,32,0.1554559043348281,0.7668161434977578,0.7668161434977578,0.7668161434977578,0.7668161434977578,0.4829820612509379,0.04325822368264198
