indice_muestra,y_true,mean_probs,std_probs,y_pred_threshold
4,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.01870531402528286, 0.170668825507164, 0.6079786419868469, 0.1838117390871048, 0.028462374582886696, 0.0021850978955626488]","[0.010067567229270935, 0.06366453319787979, 0.04699411615729332, 0.03911158815026283, 0.010132810100913048, 0.0017953586066141725]","[0, 0, 1, 0, 0, 0]"
5,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.06532254070043564, 0.3886405825614929, 0.3705821931362152, 0.06503835320472717, 0.004456327762454748, 0.0012160598998889327]","[0.02137814275920391, 0.058527640998363495, 0.041526488959789276, 0.02265208214521408, 0.0040204208344221115, 0.0015778891975060105]","[0, 1, 0, 0, 0, 0]"
7,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25011900067329407, 0.6424678564071655, 0.0997561439871788, 0.01497504860162735, 0.0005935016088187695, 9.002617298392579e-05]","[0.03046426549553871, 0.046057477593421936, 0.026435039937496185, 0.008403301239013672, 0.0006400268175639212, 0.00013910017150919884]","[0, 1, 0, 0, 0, 0]"
12,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.09273253381252289, 0.5956485867500305, 0.29611316323280334, 0.030242156237363815, 0.003191532101482153, 0.00034037011209875345]","[0.02332540787756443, 0.03682035207748413, 0.04293794184923172, 0.010435068048536777, 0.002358553698286414, 0.00032707577338442206]","[0, 1, 0, 0, 0, 0]"
13,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.17667825520038605, 0.5683322548866272, 0.15824389457702637, 0.03641834110021591, 0.0016482381615787745, 0.0002265584043925628]","[0.027249649167060852, 0.04123575985431671, 0.023855313658714294, 0.015568846836686134, 0.0013306380715221167, 0.0002639618469402194]","[0, 1, 0, 0, 0, 0]"
38,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.21053825318813324, 0.6852296590805054, 0.16068024933338165, 0.019883887842297554, 0.0017166489269584417, 0.0002907007874455303]","[0.034980904310941696, 0.044129952788352966, 0.02917034737765789, 0.008864177390933037, 0.0013065780512988567, 0.00029781361809000373]","[0, 1, 0, 0, 0, 0]"
57,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.25568100810050964, 0.6208035945892334, 0.1743375062942505, 0.017402982339262962, 0.0016987754497677088, 0.0003437199047766626]","[0.026790015399456024, 0.03580724447965622, 0.027939682826399803, 0.0073454962112009525, 0.0011871708557009697, 0.00035917910281568766]","[0, 1, 0, 0, 0, 0]"
59,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.021681930869817734, 0.3205445408821106, 0.5781735777854919, 0.1264352947473526, 0.011384479701519012, 0.000624792417511344]","[0.010264871641993523, 0.0650680661201477, 0.06688080728054047, 0.03825397416949272, 0.004978768527507782, 0.0005219949525780976]","[0, 0, 1, 0, 0, 0]"
67,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.3024134933948517, 0.5876775979995728, 0.08373373746871948, 0.010480347089469433, 0.0004403006169013679, 0.00011702784104272723]","[0.03156687319278717, 0.05631962791085243, 0.02033529430627823, 0.006944170221686363, 0.0013910430716350675, 0.00040460535092279315]","[0, 1, 0, 0, 0, 0]"
74,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.2648909389972687, 0.6413708329200745, 0.1298849731683731, 0.012260113842785358, 0.0008838620851747692, 0.00014989660121500492]","[0.02968427538871765, 0.03797140717506409, 0.027587899938225746, 0.006158099044114351, 0.0008524215081706643, 0.00015374207578133792]","[0, 1, 0, 0, 0, 0]"
